Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Item,Kind,Hidden
Benefit,1. 提高SOP制定效率：,Note:,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,   1) 使用Smart MI後，IE工程師制定SOP的時間可縮短30%~50%。,基於Phase1是無法縮短時間的，但經過半年至一年的時間累積資料庫，並優化網站，有機會縮短10%-15%的時間,,,,,,,,,,Benefit,Sheet,FALSE
Benefit, 2) 提升SOP質量和標準化：,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit, 3) 使用Smart MI後，SOP中關鍵操作步驟和參數的覆蓋率可提高20%~30%。,覆蓋率是指？,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,4) 生産過程中因SOP不標準導致的偏差降低15%~25%。,偏差是指？,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,2. 縮短SOP編寫周期：,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit, 1) 使用Smart MI後，IE工程師編寫SOP的周期可縮短40%~60%。,周期指的是？,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,3. 優化生産運營：,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit, 1) 使用基於Smart MI分析的SOP後，生産效率提升10%~15%。,基於IE工程師新人初次編寫的MI，line balance有機會提升10-15%，生產效率是與各部門協作的結果，IE的MI佔的因素較小,,,,,,,,,,Benefit,Sheet,FALSE
Benefit, 2) 産品合格率提高8%~12%。,不合適,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,4. 提高文件管理效率：,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit, 1) 使用Smart MI後，IE工程師查找所需文件的時間縮短50%~70%。,不合適,,,,,,,,,,Benefit,Sheet,FALSE
Benefit, 2) 文件變更追溯的準確性提高20%~30%。,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,Phase 1 Benefit,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,1. 基於Mini MOST 序列模型建立MI動作，可模擬理論性工時，並統一名稱(動作/材料/治工具等)的一致性,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,2. 系統性排站，可提升新人工程師排站的Line Balance 10-15%,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,Phase 2 Benefit (串聯other系統),,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,1. 減少其他系統(DPM/RMS/E-ISO/EMI等)的重複性資料上傳/維護，並降低資料錯誤/漏傳的問題,,,,,,,,,,,Benefit,Sheet,FALSE
Benefit,2. 多數資料可從系統追朔並且進行統計分析，ex: DL HC/ CWS/ 換線治工具List,,,,,,,,,,,Benefit,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
工作表1,,,,,,,,,,,,工作表1,Sheet,FALSE
